ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
70aa527392264f6c1ee84da0c1aba2a5,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_hechuanensis
80e9118eb4a31b37bff24fb85108f8e2,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_jodhpurensis
018065106d79212461a4df7019b54aeb,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_jodhpurensis
470817a204818d365b5bc7b957035146,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_jodhpurensis
42f5b262741af0b5df0b2ad9be293b31,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_jodhpurensis
b973ae931695b5836cfa8fafde8ac4c4,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_jodhpurensis
e27edcbc46c6dba542d1c84e4dd567b8,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_jodhpurensis
4fe643f045608e94db26815d9b65422e,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_sp
60c77f767def294fd88c3dfdb2454a7a,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_sp
07392ba3402b815e93a6edcedbf2359f,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_sp
22e0c76d9e944a40fc7c14035e7b1ed7,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Acrophialophora,Acrophialophora_sp
12ef0ea5bb4a14c803bc63657f637612,Fungi,Basidiomycota,Agaricomycotina_cls_Incertae_sedis,Agaricomycotina_ord_Incertae_sedis,Agaricomycotina_fam_Incertae_sedis,Agaricomycotina_gen_Incertae_sedis,Agaricomycotina_sp
b1c95b2df1e1e07f77cec4a356314544,Fungi,Basidiomycota,Agaricomycotina_cls_Incertae_sedis,Agaricomycotina_ord_Incertae_sedis,Agaricomycotina_fam_Incertae_sedis,Agaricomycotina_gen_Incertae_sedis,Agaricomycotina_sp
6b7a936f14e93d71e00a46a6c4062ee2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria_verrucaria
0700cbc81500afa4bd27b85f0a908d7f,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria_verrucaria
82326b7835adf07ac3401b5d4681d833,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Albifimbria,Albifimbria_verrucaria
b836e22d01ed6a62b260f01262127a38,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Allocanariomyces,Allocanariomyces_tritici
7df7a2d07948809df984e43a2448502e,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Allocanariomyces,Allocanariomyces_tritici
27dedbbedd9496ea7a9e618e05a12bde,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Allocanariomyces,Allocanariomyces_tritici
