FeatureID,Kingdom,Phylum,Class,Order,Family,Genus,Species
248bbc2220b92d6f0d20e1d0555b27e5,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
26d3c8181223b5344be46b40510548ab,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
628f5c55138496b933c6a9d23b78a97d,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
9006b9aae2b8f54679c3043f90439b87,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
c6b09b9e58804a9650d0bbc8cfa7892c,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
a4bdc06b392af34f296d314d24a088ec,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified,unclassified
128d098a0f85253d7c68558aa2e2edaa,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified,unclassified
36fba2f47a7f1c486313512512615151,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified,unclassified
b8e399ca1163aeeb3517661489ce0c81,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified,unclassified
cbfd2108654af88c492bd02dc7b3f5e0,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
452390d0bd09fb82bac79b565b86bca8,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
c99a732259d9bb3605566d05022e948a,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
4d27239436cee2ad07e96730328b4142,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
5b6a7f4ff4c9df5cbac476e7e86a5382,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
eeba4f6637e9e048bf6589acc8c9a16e,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
cc8df1cea6f1740bb86366a88bbbe630,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
2bb01efb32d55941cae186a5b6bfe347,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
4101bbc6cf7f2529e0475e551210c735,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
dbf7558aadc18b371142f2b0aa6533db,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
80380934812488d581c9d92d6ee5c23b,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
8ac8885b386cc53a0db7a23bed791f2b,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
6f265f9bd333fab71f839efd4b2a4dcb,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
02957f235a1b4e61ce0f3abae94f8bb1,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
dc6dd26a94a42e4aa32b441f96092ef7,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
09d222ed22c2257d39b9b3fa5d8a1956,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
8c7225d205f372a7d5829e7398dfe697,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
2e76cdc449e7416cb9082774f2acc332,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
2b6a6066f155027b768b3ce9e3a22882,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
51b4e422bb4bc2eec1c0d963accc8032,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,unclassified,unclassified
